Length,Red-Dry,Red-wet
1,207,171
2,213,176
3,218,183
4,217,186
5,211,176
6,208,154
7,211,126
8,215,107
9,215,90
10,223,92
11,222,95
12,212,103
13,208,117
14,199,134
15,159,152
16,115,164
17,55,176
18,59,182
19,59,191
20,122,198
21,217,210
22,235,221
23,206,226
24,210,225
25,213,220
26,202,209
27,203,201
28,212,198
29,204,196
30,185,188
31,180,184
32,191,187
33,197,181
34,183,187
35,171,187
36,154,188
37,153,196
38,192,189
39,223,170
40,212,158
41,210,132
42,226,123
43,228,122
44,211,135
45,223,145
46,223,149
47,201,157
48,216,170
49,239,180
50,217,178
51,221,175
52,198,171
53,165,167
54,110,168
55,125,173
56,163,176
57,138,178
58,120,172
59,121,176
60,148,181
61,175,176
62,180,168
63,183,165
64,186,168
65,164,216
66,147,216
67,137,217
68,134,217
69,136,214
70,136,207
71,141,197
72,145,191
73,142,170
74,163,163
75,192,167
76,208,195
77,207,229
78,201,243
79,199,229
80,201,208
81,206,165
82,201,145
83,202,127
84,207,120
85,205,123
86,184,121
87,156,124
88,136,128
89,148,133
90,162,133
91,177,136
92,188,138
93,202,132
94,220,131
95,230,144
96,229,161
97,222,158
98,210,170
99,217,193
100,222,207
101,219,206
102,187,202
103,157,201
104,188,195
105,243,174
106,234,163
107,208,150
108,201,146
109,196,151
110,201,164
111,220,176
112,206,183
113,212,177
114,208,180
115,204,184
116,201,181
117,211,182
118,224,192
119,208,210
120,171,223
121,134,223
122,157,224
123,133,228
124,106,224
125,146,219
126,197,209
127,213,201
128,218,197
129,197,200
130,196,198
131,199,199
132,206,199
133,216,202
134,220,204
135,206,205
136,190,204
137,201,195
138,173,182
139,112,161
140,69,142
141,95,129
142,150,127
143,188,131
144,207,135
145,203,142
146,202,146
147,186,156
148,179,164
149,198,174
150,206,182
151,186,186
152,161,191
153,179,191
154,140,192
155,108,189
156,107,187
157,122,188
158,129,184
159,135,176
160,143,167
161,147,169
162,143,150
163,140,115
164,135,104
165,134,140
166,132,179
167,129,193
168,127,193
169,144,194
170,153,191
171,156,185
172,148,181
173,144,184
174,148,191
175,148,197
176,145,203
177,147,210
178,142,206
179,144,193
180,148,178
181,153,175
182,156,181
183,169,187
184,183,185
185,196,187
186,146,196
187,102,200
188,98,185
189,115,163
190,137,148
191,165,149
192,193,155
193,213,160
194,214,173
195,215,190
196,216,199
197,217,198
198,218,195
199,218,193
200,218,195
201,222,193
202,219,191
203,213,178
204,206,187
205,201,185
206,202,176
207,206,198
208,210,212
209,213,214
210,214,207
211,213,212
212,211,221
213,212,222
214,214,229
215,212,230
216,208,219
217,208,223
218,195,217
219,171,193
220,150,146
221,146,98
222,158,79
223,183,87
224,200,103
225,198,122
226,197,141
227,193,158
228,192,167
229,203,176
230,207,188
231,206,194
232,211,195
233,217,194
234,223,194
235,227,197
236,226,204
237,223,213
238,207,214
239,178,208
240,148,201
241,105,192
242,92,182
243,144,165
244,212,152
245,211,141
246,188,129
247,197,114
248,212,104
249,220,90
250,219,68
251,216,66
252,203,86
253,199,96
254,206,101
255,201,113
256,179,126
257,174,149
258,179,160
259,176,170
260,177,179
261,193,186
262,205,195
263,206,207
264,200,214
265,201,227
266,227,232
267,215,243
268,210,249
269,225,253
270,232,250
271,230,248
272,204,246
273,161,234
274,149,231
275,137,225
276,114,215
277,82,196
278,63,160
279,70,112
280,84,74
281,122,91
282,144,95
283,158,110
284,164,121
285,167,119
286,152,125
287,135,142
288,131,152
289,107,168
290,94,174
291,76,184
292,79,194
293,66,202
294,48,207
295,65,209
296,66,209
297,96,203
298,106,205
299,113,208
300,110,207
301,109,193
302,111,168
303,119,136
304,123,114
305,123,112
306,127,128
307,132,148
308,140,157
309,148,164
310,153,175
311,173,190
312,203,198
313,243,206
314,240,210
315,233,215
316,225,220
317,214,222
318,204,224
319,197,226
320,192,227
321,179,225
322,187,224
323,197,223
324,207,223
325,211,221
326,214,219
327,214,214
328,215,211
329,219,218
330,217,216
331,216,216
332,213,216
333,212,218
334,210,218
335,209,217
336,209,216
337,206,226
338,199,225
339,205,222
340,223,213
341,241,203
342,240,196
343,228,202
344,221,211
345,226,210
346,190,205
347,140,198
348,112,194
349,112,186
350,118,172
351,162,152
352,222,138
353,227,145
354,223,145
355,219,153
356,231,171
357,239,189
358,224,201
359,213,208
360,224,209
361,247,225
362,247,239
363,176,228
364,114,208
365,137,198
366,156,176
367,134,157
368,115,159
369,125,162
370,139,161
371,143,162
372,152,165
373,158,169
374,162,169
375,161,165
376,132,161
377,94,160
378,144,160
379,160,166
380,149,173
381,148,174
382,139,175
383,125,177
384,124,182
385,94,193
386,96,192
387,162,182
388,212,173
389,221,179
390,220,193
391,212,204
392,219,204
393,219,211
394,217,211
395,220,207
396,229,202
397,221,206
398,216,210
399,220,205
400,194,196
401,193,189
402,212,182
403,212,167
404,187,146
405,196,124
406,198,110
407,147,113
408,110,118
409,178,130
410,220,145
411,232,149
412,221,161
413,227,167
414,223,166
415,221,185
416,231,193
417,225,178
418,191,176
419,196,175
420,212,174
421,207,167
422,218,151
423,235,147
424,227,159
425,219,167
426,212,164
427,189,180
428,192,199
429,214,204
430,173,199
431,141,188
432,198,164
433,233,138
434,227,118
435,228,136
436,229,144
437,226,120
438,225,124
439,232,147
440,238,148
441,212,162
442,156,156
443,136,155
444,176,149
445,212,139
446,220,131
447,218,111
448,217,85
449,224,59
450,232,61
451,223,68
452,216,83
453,222,98
454,199,108
455,171,112
456,173,110
457,202,126
458,202,126
459,197,120
460,191,104
461,190,83
462,194,74
463,199,82
464,203,94
465,202,99
466,190,141
467,166,176
468,125,189
469,93,199
470,70,210
471,88,222
472,152,232
473,235,236
474,234,245
475,222,246
476,222,236
477,222,229
478,216,226
479,218,216
480,203,202
481,209,155
482,198,162
483,195,172
484,144,183
485,96,203
486,44,224
487,50,222
488,54,208
489,52,214
490,55,188
491,66,179
492,74,198
493,69,222
494,64,225
495,89,222
496,119,222
497,227,221
498,239,203
499,217,151
500,183,102
501,196,118
502,226,180
503,226,223
504,206,225
505,209,220
506,208,195
507,205,195
508,192,224
509,181,233
510,191,220
511,193,221
512,177,239
513,172,205
514,137,159
515,70,143
516,79,171
517,176,186
518,220,180
519,192,168
520,175,156
521,202,148
522,227,172
523,229,212
524,217,223
525,222,235
526,221,240
527,218,226
528,224,235
529,230,227
530,220,230
531,219,217
532,232,152
533,206,81
534,124,94
535,71,150
536,82,173
537,88,162
538,85,171
539,134,178
540,195,188
541,214,197
542,211,190
543,212,184
544,206,192
545,231,198
546,229,195
547,224,189
548,215,197
549,208,212
550,209,214
551,212,216
552,206,225
553,223,229
554,206,222
555,174,219
556,138,220
557,156,223
558,195,216
559,212,201
560,225,184
561,223,143
562,225,142
563,221,154
564,206,155
565,201,131
566,209,107
567,215,106
568,213,115
569,234,148
570,237,172
571,242,194
572,233,203
573,204,216
574,153,235
575,96,236
576,57,225
577,64,221
578,80,220
579,95,222
580,106,221
581,120,221
582,135,219
583,138,216
584,130,216
585,143,200
586,146,191
587,156,178
588,167,168
589,166,168
590,158,174
591,164,181
592,174,184
593,166,167
594,167,172
595,167,162
596,168,131
597,170,123
598,173,158
599,173,185
600,173,179
601,176,178
602,179,195
603,185,218
604,193,213
605,200,191
606,205,184
607,207,190
608,206,185
609,200,176
610,196,175
611,198,175
612,203,178
613,201,178
614,187,168
615,167,153
616,153,141
617,135,112
618,127,99
619,114,103
620,92,121
621,80,134
622,85,132
623,111,133
624,134,143
625,146,171
626,157,162
627,171,152
628,176,155
629,170,178
630,158,202
631,145,208
632,137,202
633,168,209
634,174,215
635,180,204
636,177,196
637,176,200
638,185,195
639,205,177
640,220,159
641,217,133
642,211,129
643,207,123
644,204,118
645,203,122
646,205,127
647,206,154
648,209,189
649,218,163
650,231,106
651,238,80
652,231,103
653,217,138
654,213,163
655,219,197
656,226,220
657,238,225
658,232,234
659,193,219
660,172,225
661,199,239
662,213,230
663,208,229
664,210,231
665,213,195
666,213,149
667,214,178
668,215,225
669,217,201
670,217,168
671,217,181
672,217,202
673,218,217
674,217,217
675,213,208
676,209,180
677,209,151
678,212,139
679,213,150
680,210,163
681,205,195
682,206,208
683,198,227
684,181,238
685,189,237
686,170,229
687,138,224
688,159,226
689,204,211
690,216,188
691,215,169
692,208,187
693,206,219
694,196,211
695,183,174
696,173,147
697,159,129
698,145,112
699,140,100
700,158,115
701,186,151
702,209,179
703,218,177
704,217,166
705,211,156
706,212,155
707,216,127
708,223,110
709,226,138
710,226,162
711,221,168
712,217,171
713,220,166
714,224,154
715,223,166
716,206,190
717,187,197
718,166,190
719,149,187
720,140,184
721,171,210
722,199,199
723,190,170
724,185,146
725,203,149
726,194,169
727,196,169
728,240,154
729,210,124
730,208,112
731,255,113
732,246,124
733,196,132
734,70,132
735,101,145
736,190,160
737,222,165
738,219,206
739,224,220
740,229,212
741,225,226
742,217,231
743,219,218
744,227,210
745,233,217
746,216,229
747,206,240
748,211,237
749,217,234
750,212,235
751,201,238
752,194,237
753,166,228
754,107,244
755,92,208
756,141,180
757,204,219
758,197,245
759,168,235
760,198,236
761,220,227
762,215,227
763,205,227
764,195,227
765,192,231
766,208,231
767,219,232
768,210,234
769,214,237
770,215,228
771,217,218
772,209,212
773,163,201
774,220,193
775,245,202
776,216,219
777,227,223
778,218,215
779,216,207
780,219,210
781,215,225
782,208,237
783,198,234
784,181,227
785,163,220
786,223,201
787,187,198
788,187,214
789,217,226
790,213,231
791,233,231
792,229,224
793,229,202
794,218,206
795,208,180
796,201,144
797,196,139
798,205,145
799,217,136
800,219,124
801,194,130
802,193,126
803,208,136
804,204,154
805,202,160
806,201,164
807,186,192
808,186,224
809,150,233
810,140,232
811,165,233
812,187,230
813,175,233
814,163,245
815,168,232
816,167,199
817,180,167
818,158,163
819,174,163
820,192,177
821,210,201
822,234,216
823,245,220
824,255,218
825,247,204
826,184,188
827,160,166
828,180,144
829,189,126
830,195,114
831,209,106
832,214,103
833,194,103
834,193,99
835,191,94
836,190,78
837,192,89
838,195,142
839,199,185
840,199,181
841,207,190
842,205,201
843,202,203
844,203,199
845,201,207
846,202,210
847,209,208
848,220,206
849,225,205
850,197,206
851,181,216
852,143,209
853,151,168
854,197,128
855,187,121
856,174,127
857,192,141
858,230,130
859,241,139
860,218,177
861,203,216
862,196,232
863,199,233
864,213,229
865,102,212
866,85,200
867,103,127
868,117,100
869,151,115
